DAY,VERSE,Text,9x16,16x9,1x1,IMAGE LINK,FONT LINK 1,FONT LINK 2,
1,Matthew 5:6,"“Blessed are those who hunger and thirst for righteousness, for they will be satisfied.",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/8CwoHpZe3qE,https://www.dafontfree.io/atmospheric-display-font/,,
2,1 John 3:16,We have come to know love by this: that Jesus laid down his life for us; thus we ought to lay down our lives for our fellow Christians.,https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/UK61KZPnpyY,https://www.dafontfree.io/intro-font-free/,,
3,Isaiah 40:29,"He gives strength to those who are tired; to the ones who lack power, he gives renewed energy.",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/MxFjwuFFDi4,https://fonts.google.com/specimen/Anton#standard-styles,,
4,James 1:5,"But if anyone is deficient in wisdom, he should ask God, who gives to all generously and without reprimand, and it will be given to him.",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://isorepublic.com/photo/praying-in-church/,https://www.1001fonts.com/antonio-font.html,https://www.creativefabrica.com/product/archipellago/,
5,Luke 6:45,"The good person out of the good treasury of his heart produces good, and the evil person out of his evil treasury produces evil, for his mouth speaks from what fills his heart.",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/3MWdi5_6Hrc,https://fonts.google.com/specimen/Antonio#standard-styles,,
6,1 John 2:15-16,"Do not love the world or the things in the world. If anyone loves the world, the love of the Father is not in him, because all that is in the world (the desire of the flesh and the desire of the eyes and the arrogance produced by material possessions) is not from the Father, but is from the world.",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/ir5MHI6rPg0,https://fonts.google.com/specimen/Paytone+One#about,,
7,Psalm 34:8,Taste and see that the Lord is good. How blessed is the one who takes shelter in him.,https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://www.pexels.com/photo/grayscale-photo-of-a-man-praying-5206087/,https://www.dafont.com/leorio.font,https://www.creativefabrica.com/product/archipellago/,
8,2 Corinthians 1:4,who comforts us in all our troubles so that we may be able to comfort those experiencing any trouble with the comfort with which we ourselves are comforted by God.,https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/VgvMDrPoCN4,https://fonts.google.com/specimen/Anton#standard-styles,https://www.creativefabrica.com/product/archipellago/,
9,Ephesians 3:16,"I pray that according to the wealth of his glory he will grant you to be strengthened with power through his Spirit in the inner person,",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/lPCu8HnGU2E,https://www.dafont.com/engebrechtre.font,,
10,Psalm 121:2,"My help comes from the Lord, the Creator of heaven and earth.",https://www.canva.com/design/DAE_guMZbhs/gTcIUbfSLv2OrrstYlMyxQ/view,https://www.canva.com/design/DAE_gigClK0/jjD5WSkcxnxamyTrty34cA/view,https://www.canva.com/design/DAE_gikbVrU/5nXrrMHo5sqFHc3mi7-nFA/view,https://unsplash.com/photos/TStNU7H4UEE,https://www.dafont.com/raustila.font,https://www.dafontfree.io/anton-font-family/,
11,Matthew 6:33,"But above all pursue his kingdom and righteousness, and all these things will be given to you as well.",https://www.canva.com/design/DAE39qukhGA/_wQhhUGYHhHaJJkxfEc0vQ/view,https://www.canva.com/design/DAE3cwDMoEI/u0NhWp97QNJTE6V4h38REQ/view,https://www.canva.com/design/DAE39ra4rc0/2sFf4vUhGe0sbzmWCcy7NQ/view,https://unsplash.com/photos/9CMUPez8wLo,https://www.1001fonts.com/engebrechtre-font.html,https://www.fontsquirrel.com/fonts/allura?q%5Bterm%5D=script&q%5Bsearch_check%5D=Y,https://www.dafontfree.io/anton-font-family/
12,Mark 16:15,"He said to them, “Go into all the world and preach the gospel to every creature.",https://www.canva.com/design/DAE39qukhGA/_wQhhUGYHhHaJJkxfEc0vQ/view,https://www.canva.com/design/DAE3cwDMoEI/u0NhWp97QNJTE6V4h38REQ/view,https://www.canva.com/design/DAE39ra4rc0/2sFf4vUhGe0sbzmWCcy7NQ/view,https://unsplash.com/photos/mO9vKbG5csg,https://www.fontspace.com/arkipelago-font-f30487,https://www.dafontfree.io/anton-font-family/,
13,2 Timothy 3:16,"Every scripture is inspired by God and useful for teaching, for reproof, for correction, and for training in righteousness,",https://www.canva.com/design/DAE39qukhGA/_wQhhUGYHhHaJJkxfEc0vQ/view,https://www.canva.com/design/DAE3cwDMoEI/u0NhWp97QNJTE6V4h38REQ/view,https://www.canva.com/design/DAE39ra4rc0/2sFf4vUhGe0sbzmWCcy7NQ/view,https://unsplash.com/photos/1-YQiOijio8,https://www.dafontfree.io/anton-font-family/,https://www.fontspace.com/arkipelago-font-f30487,
